tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
1970-2048,Vancouver,Carpet,16,A,19700929,300,100029,NA,NA,Rod Laver,L,173,AUS,32.1396303901,100022,NA,NA,Roy Emerson,R,183,AUS,33.9028062971,6-2 6-1 6-2,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1970-2049,Eastbourne,Grass,32,A,19700615,300,100016,NA,NA,Ken Rosewall,R,175,AUS,35.6167008898,100040,NA,NA,Bob Hewitt,R,190,RSA,30.4229979466,6-2 6-1,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,South Africa,-25.274398,133.775136,-30.559482,22.937506
1970-2050,Newport,Grass,64,A,19700705,300,100016,NA,NA,Ken Rosewall,R,175,AUS,35.6714579055,100087,NA,NA,John Newcombe,R,183,AUS,26.1163586585,6-4 6-4,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1970-2063,Casablanca WCT,NA,16,A,19700607,14,100087,NA,NA,John Newcombe,R,183,AUS,26.0396988364,100026,NA,NA,Andres Gimeno,R,185,ESP,32.8432580424,6-4 6-4 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,Spain,-25.274398,133.775136,40.463667,-3.74922
1970-2066,Macon,Carpet,32,A,19700225,300,100128,NA,NA,Cliff Richey,R,175,USA,23.1540041068,100074,NA,NA,Arthur Ashe,R,185,USA,26.6310746064,6-3 3-6 8-6,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1970-2067,Phoenix,Hard,32,A,19701018,30,100126,NA,NA,Stan Smith,R,193,USA,23.8439425051,100094,NA,NA,Jim Osborne,R,185,USA,25.7084188912,6-3 6-7 6-1,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1970-260,Durban,Hard,64,A,19700406,300,100040,NA,NA,Bob Hewitt,R,190,RSA,30.2313483915,100055,NA,NA,Cliff Drysdale,R,188,RSA,28.8624229979,6-4 3-6 6-4 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,South Africa,South Africa,-30.559482,22.937506,-30.559482,22.937506
1970-303,Buenos Aires,Clay,32,A,19701108,300,100141,NA,NA,Zeljko Franulovic,R,NA,CRO,23.4058863792,100174,NA,NA,Manuel Orantes,L,178,ESP,21.7522245038,6-4 6-2 6-0,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Croatia,Spain,45.1,15.2,40.463667,-3.74922
1970-308,Munich,Clay,32,A,19700803,300,100035,NA,NA,Ion Tiriac,R,NA,ROU,31.2361396304,100037,NA,NA,Nikola Pilic,L,NA,CRO,30.9349760438,2-6 9-7 6-3 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Romania,Croatia,45.943161,24.96676,45.1,15.2
1970-311,Queen's Club,Grass,64,A,19700615,63,100029,1,NA,Rod Laver,L,173,AUS,31.8494182067,100087,2,NA,John Newcombe,R,183,AUS,26.0616016427,6-4 6-3,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1970-313,Bristol,Grass,32,A,19700608,300,100037,NA,NA,Nikola Pilic,L,NA,CRO,30.7816563997,100029,NA,NA,Rod Laver,L,173,AUS,31.8302532512,6-3 1-6 6-3,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Croatia,Australia,45.1,15.2,-25.274398,133.775136
1970-314,Gstaad,Clay,32,A,19700718,300,100100,NA,NA,Tony Roche,L,178,AUS,25.1690622861,100084,NA,NA,Tom Okker,R,178,NED,26.4010951403,6-3 7-5 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,Netherlands,-25.274398,133.775136,52.132633,5.291266
1970-316,Bastad,Clay,32,A,19700711,31,100090,NA,NA,Dick Crealy,R,NA,AUS,25.8097193703,100160,NA,NA,Georges Goven,R,173,FRA,22.2067077344,6-3 6-1 6-1,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,France,-25.274398,133.775136,46.227638,2.213749
1970-317,Hilversum,Hard,64,A,19700802,300,100084,NA,NA,Tom Okker,R,178,NED,26.4421629021,100058,NA,NA,Roger Taylor,L,NA,GBR,28.7994524298,4-6 6-0 6-1 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Netherlands,United Kingdom,52.132633,5.291266,55.378051,-3.435973
1970-319,Kitzbuhel,Clay,64,A,19700809,300,100141,NA,NA,Zeljko Franulovic,R,NA,CRO,23.1567419576,100244,NA,NA,John Alexander,R,190,AUS,19.099247091,6-4 9-7 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Croatia,Australia,45.1,15.2,-25.274398,133.775136
1970-347,Bournemouth,Clay,32,A,19700426,300,100073,5,NA,Mark Cox,L,NA,GBR,26.8090349076,100040,3,NA,Bob Hewitt,R,190,RSA,30.2861054073,6-1 6-2 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,United Kingdom,South Africa,55.378051,-3.435973,-30.559482,22.937506
1970-350,Nottingham,Grass,64,A,19700622,300,100126,NA,NA,Stan Smith,R,193,USA,23.5208761123,109811,NA,NA,Chauncey Steele Iii,R,NA,USA,NA,6-3 6-4,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1970-352,Paris Indoor,Carpet,32,A,19701109,31,100074,3,NA,Arthur Ashe,R,185,USA,27.3347022587,100060,NA,NA,Marty Riessen,R,185,USA,28.9308692676,7-6 6-4 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1970-355,Salisbury,Hard,64,A,19700215,300,100119,NA,NA,Ilie Nastase,R,183,ROU,23.5783709788,100128,NA,NA,Cliff Richey,R,175,USA,23.1266255989,6-8 3-6 6-4 9-7 6-0,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Romania,United States,45.943161,24.96676,37.09024,-95.712891
1970-388,Dallas,Carpet,32,A,19700421,300,100026,NA,NA,Andres Gimeno,R,185,ESP,32.7145790554,100022,NA,NA,Roy Emerson,R,183,AUS,33.4620123203,6-2 6-3 6-2,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Spain,Australia,40.463667,-3.74922,-25.274398,133.775136
