tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2011-520,Roland Garros,Clay,128,G,2011-05-22,127,104745,1,NA,Rafael Nadal,L,185,ESP,24.9691991786,103819,3,NA,Roger Federer,R,185,SUI,29.787816564,7-5 7-6(3) 5-7 6-1,5,FALSE,220,4,3,147,106,69,21,22,10,15,11,1,126,80,55,18,21,8,15,1,12070,3,8390,2011,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2011-540,Wimbledon,Grass,128,G,2011-06-20,127,104925,2,NA,Novak Djokovic,R,188,SRB,24.0793976728,104745,1,NA,Rafael Nadal,L,185,ESP,25.0458590007,6-4 6-1 1-6 6-3,5,FALSE,148,7,1,95,69,50,14,17,3,6,5,1,82,64,43,8,16,1,6,2,12005,1,12070,2011,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2011-560,US Open,Hard,128,G,2011-08-29,127,104925,1,NA,Novak Djokovic,R,188,SRB,24.2710472279,104745,2,NA,Rafael Nadal,L,185,ESP,25.2375085558,6-2 6-4 6-7(3) 6-1,5,FALSE,250,7,1,127,84,55,19,19,8,14,2,3,141,96,50,19,18,15,27,1,13920,2,11420,2011,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2012-580,Australian Open,Hard,128,G,2012-01-16,127,104925,1,NA,Novak Djokovic,R,188,SRB,24.6543463381,104745,2,NA,Rafael Nadal,L,185,ESP,25.620807666,5-7 6-4 6-2 6-7(5) 7-5,5,FALSE,353,9,2,166,98,67,43,27,2,6,10,4,203,135,88,32,27,13,20,1,13630,2,9595,2012,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2012-410,Monte Carlo Masters,Clay,56,M,2012-04-15,55,104745,2,NA,Rafael Nadal,L,185,ESP,25.8699520876,104925,1,NA,Novak Djokovic,R,188,SRB,24.9034907598,6-3 6-1,3,FALSE,79,3,1,38,26,22,6,8,0,1,0,0,48,30,12,10,8,3,8,2,9215,1,12670,2012,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2012-416,Rome Masters,Clay,56,M,2012-05-13,55,104745,2,NA,Rafael Nadal,L,185,ESP,25.9466119097,104925,1,NA,Novak Djokovic,R,188,SRB,24.9801505818,7-5 6-3,3,FALSE,141,0,0,69,39,27,17,10,6,7,1,4,74,47,32,10,11,3,7,3,9105,1,11200,2012,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2012-520,Roland Garros,Clay,128,G,2012-05-27,127,104745,2,NA,Rafael Nadal,L,185,ESP,25.9849418207,104925,1,NA,Novak Djokovic,R,188,SRB,25.0184804928,6-4 6-3 2-6 7-5,5,FALSE,229,4,4,118,73,45,24,19,3,10,3,4,123,73,45,22,20,8,17,2,10060,1,11800,2012,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2012-422,Cincinnati Masters,Hard,56,M,2012-08-12,55,103819,1,NA,Roger Federer,R,185,SUI,31.0143737166,104925,2,NA,Novak Djokovic,R,188,SRB,25.2292950034,6-0 7-6(7),3,FALSE,80,8,1,56,33,27,15,9,0,0,2,5,61,35,23,13,9,1,4,1,11345,2,11270,2012,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2012-605,Tour Finals,Hard,8,F,2012-11-05,515,104925,1,NA,Novak Djokovic,R,188,SRB,25.4592744695,103819,2,NA,Roger Federer,R,185,SUI,31.2443531828,7-6(6) 7-5,3,FALSE,135,6,2,98,68,43,14,12,4,7,8,2,93,57,35,19,12,3,7,1,11420,2,9465,2012,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2013-410,Monte Carlo Masters,Clay,56,M,2013-04-14,55,104925,1,NA,Novak Djokovic,R,188,SRB,25.9000684463,104745,3,NA,Rafael Nadal,L,185,ESP,26.8665297741,6-2 7-6(1),3,FALSE,112,2,0,61,38,24,14,10,3,6,2,3,78,56,31,7,10,7,12,1,12500,5,6385,2013,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
