tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2007-605,Masters Cup,Hard,8,F,20071112,4,103819,NA,NA,Roger Federer,R,185,SUI,26.2614647502,104745,NA,NA,Rafael Nadal,L,185,ESP,21.4428473648,6-4 6-1,3,SF,59,11,0,48,39,32,5,9,1,1,1,1,39,28,17,6,8,1,4,1,6530,2,5535,2007,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2008-311,Queen's Club,Grass,56,A,20080609,55,104745,1,NA,Rafael Nadal,L,185,ESP,22.0177960301,104925,2,NA,Novak Djokovic,R,188,SRB,21.0513347023,7-6(6) 7-5,3,F,136,3,0,82,50,34,16,12,5,8,4,0,90,69,42,10,12,9,13,2,5585,3,5225,2008,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2008-404,Indian Wells Masters,Hard,96,M,20080313,94,104925,3,NA,Novak Djokovic,R,188,SRB,20.8021902806,104745,2,NA,Rafael Nadal,L,185,ESP,21.7686516085,6-3 6-2,3,SF,88,8,0,50,31,25,11,9,2,3,2,2,51,31,18,8,8,3,7,3,5130,2,5980,2008,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2008-410,Monte Carlo Masters,Clay,56,M,20080420,53,103819,1,NA,Roger Federer,R,185,SUI,26.7022587269,104925,3,NA,Novak Djokovic,R,188,SRB,20.9171800137,6-3 3-2 RET,3,SF,72,1,0,42,22,18,10,7,3,4,2,3,62,37,22,10,7,2,5,1,6425,3,4725,2008,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2008-410,Monte Carlo Masters,Clay,56,M,20080420,55,104745,2,NA,Rafael Nadal,L,185,ESP,21.8836413415,103819,1,NA,Roger Federer,R,185,SUI,26.7022587269,7-5 7-5,3,F,103,1,2,63,51,32,5,12,1,5,5,0,75,47,28,8,12,1,7,2,5455,1,6425,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-414,Hamburg Masters,Clay,56,M,20080511,54,104745,2,NA,Rafael Nadal,L,185,ESP,21.9411362081,104925,3,NA,Novak Djokovic,R,188,SRB,20.9746748802,7-5 2-6 6-2,3,SF,183,3,2,110,82,47,14,14,15,19,0,0,93,60,35,15,14,4,9,2,5435,3,5125,2008,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2008-414,Hamburg Masters,Clay,56,M,20080511,55,104745,2,NA,Rafael Nadal,L,185,ESP,21.9411362081,103819,1,NA,Roger Federer,R,185,SUI,26.7597535934,7-5 6-7(3) 6-3,3,F,172,3,3,101,77,51,8,17,3,7,7,0,118,72,48,16,16,11,17,2,5435,1,6825,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-422,Cincinnati Masters,Hard,56,M,20080728,54,104925,3,NA,Novak Djokovic,R,188,SRB,21.1854893908,104745,2,NA,Rafael Nadal,L,185,ESP,22.1519507187,6-1 7-5,3,SF,86,4,0,57,32,23,19,10,1,1,2,1,45,26,19,9,9,1,4,3,5055,2,6305,2008,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2008-520,Roland Garros,Clay,128,G,20080525,126,104745,2,NA,Rafael Nadal,L,185,ESP,21.9794661191,104925,3,NA,Novak Djokovic,R,188,SRB,21.0130047912,6-4 6-2 7-6(3),5,SF,169,0,0,98,71,47,19,15,4,6,2,1,100,54,31,27,15,9,14,2,5585,3,5225,2008,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2008-520,Roland Garros,Clay,128,G,20080525,127,104745,2,NA,Rafael Nadal,L,185,ESP,21.9794661191,103819,1,NA,Roger Federer,R,185,SUI,26.7980835044,6-1 6-3 6-0,5,F,108,0,0,67,50,35,11,11,3,4,2,0,77,53,26,5,11,9,17,2,5585,1,6675,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-540,Wimbledon,Grass,128,G,20080623,127,104745,2,NA,Rafael Nadal,L,185,ESP,22.0561259411,103819,1,NA,Roger Federer,R,185,SUI,26.8747433265,6-4 6-4 6-7(5) 6-7(8) 9-7,5,F,288,6,3,218,160,111,34,30,12,13,25,2,195,127,92,39,30,9,13,2,5755,1,6900,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-560,US Open,Hard,128,G,20080825,126,103819,2,NA,Roger Federer,R,185,SUI,27.0472279261,104925,3,NA,Novak Djokovic,R,188,SRB,21.2621492129,6-3 5-7 7-5 6-2,5,SF,164,20,1,125,80,61,27,21,2,4,6,5,124,80,57,20,20,7,12,2,5930,3,5105,2008,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2008-580,Australian Open,Hard,128,G,20080114,125,104925,3,NA,Novak Djokovic,R,188,SRB,20.6488706366,103819,1,NA,Roger Federer,R,185,SUI,26.4339493498,7-5 6-3 7-6(5),5,SF,146,13,6,113,77,60,15,17,7,9,10,2,109,68,48,18,16,7,11,3,4315,1,7180,2008,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2008-96,Beijing Olympics,Hard,64,A,20080811,62,104745,2,NA,Rafael Nadal,L,185,ESP,22.1902806297,104925,3,NA,Novak Djokovic,R,188,SRB,21.2238193018,6-4 1-6 6-4,3,SF,131,3,1,75,54,33,14,13,1,4,9,5,85,54,39,15,14,4,7,2,6305,3,4905,2008,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2009-1536,Madrid Masters,Clay,56,M,20090510,53,104745,1,NA,Rafael Nadal,L,185,ESP,22.9377138946,104925,3,NA,Novak Djokovic,R,188,SRB,21.9712525667,3-6 7-6(5) 7-6(9),3,SF,243,4,4,133,101,72,16,16,6,8,7,3,112,69,56,24,17,1,2,1,15360,4,8920,2009,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2009-1536,Madrid Masters,Clay,56,M,20090510,55,103819,2,NA,Roger Federer,R,185,SUI,27.7563312799,104745,1,NA,Rafael Nadal,L,185,ESP,22.9377138946,6-4 6-4,3,F,86,6,3,67,42,29,17,10,4,4,1,1,54,43,32,5,10,0,2,2,10170,1,15360,2009,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2009-328,Basel,Hard,32,A,20091102,31,104925,2,NA,Novak Djokovic,R,188,SRB,22.4503764545,103819,1,NA,Roger Federer,R,185,SUI,28.2354551677,6-4 4-6 6-2,3,F,131,6,7,98,63,45,19,14,9,11,10,1,86,61,42,11,14,4,8,3,7890,1,10055,2009,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2009-352,Paris Masters,Hard,48,M,20091108,46,104925,3,NA,Novak Djokovic,R,188,SRB,22.46954141,104745,2,NA,Rafael Nadal,L,185,ESP,23.4360027379,6-2 6-3,3,SF,77,4,4,50,29,24,13,9,0,0,4,2,38,25,14,6,8,0,3,3,8300,2,8845,2009,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2009-403,Miami Masters,Hard,96,M,20090325,94,104925,3,NA,Novak Djokovic,R,188,SRB,21.8370978782,103819,2,NA,Roger Federer,R,185,SUI,27.6221765914,3-6 6-2 6-3,3,SF,106,4,4,73,51,35,12,13,2,6,4,4,80,48,28,13,13,4,10,3,8420,2,10910,2009,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2009-410,Monte Carlo Masters,Clay,56,M,20090412,55,104745,1,NA,Rafael Nadal,L,185,ESP,22.861054072600002,104925,3,NA,Novak Djokovic,R,188,SRB,21.8945927447,6-3 2-6 6-1,3,F,163,2,1,87,57,35,14,12,6,11,4,3,87,54,30,11,12,7,14,1,14470,3,9010,2009,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2009-416,Rome Masters,Clay,56,M,20090427,54,104925,3,NA,Novak Djokovic,R,188,SRB,21.9329226557,103819,2,NA,Roger Federer,R,185,SUI,27.7180013689,4-6 6-3 6-3,3,SF,131,3,6,100,50,32,28,14,8,11,6,3,81,40,29,17,14,3,8,3,9160,2,10060,2009,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2009-416,Rome Masters,Clay,56,M,20090427,55,104745,1,NA,Rafael Nadal,L,185,ESP,22.8993839836,104925,3,NA,Novak Djokovic,R,188,SRB,21.9329226557,7-6(2) 6-2,3,F,123,0,1,70,50,34,11,10,2,4,0,2,66,39,23,13,10,1,5,1,14890,3,9160,2009,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2009-422,Cincinnati Masters,Hard,56,M,20090816,54,104925,4,NA,Novak Djokovic,R,188,SRB,22.2395619439,104745,2,NA,Rafael Nadal,L,185,ESP,23.2060232717,6-1 6-4,3,SF,92,5,1,55,36,27,11,9,1,1,1,3,56,35,21,10,8,3,6,4,7150,3,8665,2009,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2009-422,Cincinnati Masters,Hard,56,M,20090816,55,103819,1,NA,Roger Federer,R,185,SUI,28.0246406571,104925,4,NA,Novak Djokovic,R,188,SRB,22.2395619439,6-1 7-5,3,F,127,7,0,60,33,28,15,10,3,4,3,1,81,55,33,9,9,11,15,1,11040,4,7150,2009,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2009-560,US Open,Hard,128,G,20090831,125,103819,1,NA,Roger Federer,R,185,SUI,28.0629705681,104925,4,NA,Novak Djokovic,R,188,SRB,22.2778918549,7-6(3) 7-5 7-5,5,SF,154,8,3,109,63,49,28,18,2,3,6,4,115,78,53,20,18,7,10,1,12040,4,7660,2009,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2009-580,Australian Open,Hard,128,G,20090119,127,104745,1,NA,Rafael Nadal,L,185,ESP,22.6310746064,103819,2,NA,Roger Federer,R,185,SUI,27.4496919918,7-5 3-6 7-6(3) 3-6 6-2,5,F,259,4,4,175,112,74,30,24,13,19,11,6,172,89,65,38,26,9,16,1,13160,2,10700,2009,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2009-605,Tour Finals,Hard,8,F,20091122,14,104925,NA,NA,Novak Djokovic,R,188,SRB,22.507871321,104745,NA,NA,Rafael Nadal,L,185,ESP,23.4743326489,7-6(5) 6-3,3,RR,118,2,3,73,37,29,19,11,4,6,4,1,71,55,33,8,10,2,5,3,7910,2,9205,2009,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2009-D008,Davis Cup WG R1: ESP vs SRB,Clay,4,D,20090306,4,104745,NA,NA,Rafael Nadal,L,185,ESP,22.7460643395,104925,NA,NA,Novak Djokovic,R,188,SRB,21.7796030116,6-4 6-4 6-1,5,RR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14360,3,9420,2009,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2010-1536,Madrid Masters,Clay,56,M,20100509,55,104745,2,NA,Rafael Nadal,L,185,ESP,23.9342915811,103819,1,NA,Roger Federer,R,185,SUI,28.7529089665,6-4 7-6(5),3,F,131,2,2,81,59,32,14,11,8,11,9,0,88,59,35,14,11,7,11,3,6480,1,10430,2010,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2010-421,Canada Masters,Hard,56,M,20100809,54,103819,3,NA,Roger Federer,R,185,SUI,29.0020533881,104925,2,NA,Novak Djokovic,R,188,SRB,23.2169746749,6-1 3-6 7-5,3,SF,142,11,2,95,55,40,17,14,6,9,1,3,118,81,46,18,14,7,12,3,6795,2,6905,2010,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2010-560,US Open,Hard,128,G,20100830,126,104925,3,NA,Novak Djokovic,R,188,SRB,23.2744695414,103819,2,NA,Roger Federer,R,185,SUI,29.0595482546,5-7 6-1 5-7 6-2 7-5,5,SF,224,4,3,151,94,64,36,26,4,7,12,5,160,84,62,35,25,6,12,3,6665,2,7215,2010,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2010-560,US Open,Hard,128,G,20100830,127,104745,1,NA,Rafael Nadal,L,185,ESP,24.2409308693,104925,3,NA,Novak Djokovic,R,188,SRB,23.2744695414,6-4 5-7 6-4 6-2,5,F,223,8,2,112,75,55,21,20,1,4,5,4,143,94,61,22,20,20,25,1,10745,3,6665,2010,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2010-5014,Shanghai Masters,Hard,56,M,20101010,54,103819,3,NA,Roger Federer,R,185,SUI,29.1745379877,104925,2,NA,Novak Djokovic,R,188,SRB,23.3894592745,7-5 6-4,3,SF,102,7,3,73,45,34,15,11,4,5,4,4,75,48,30,15,11,1,4,3,6735,2,7145,2010,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
