country_name,wins,runnerups,total_finals_games,finals_win_rate,total_wins,total_losses,total_games,win_rate,lat,long
Argentina,235,222,457,51.42231947483589,7989,7117,15106,52.88627035614988,-55.032127380371094,-66.5111312866211
Armenia,1,2,3,33.33333333333333,158,220,378,41.7989417989418,38.869041442871094,46.17012023925781
Australia,290,325,615,47.15447154471545,13965,13577,27542,50.70437876697408,-54.74921798706055,158.84521484375
Austria,79,52,131,60.30534351145038,2610,2649,5259,49.629207073588134,46.39970779418945,14.549805641174316
Belarus,1,5,6,16.666666666666664,440,478,918,47.930283224400874,51.26504135131836,30.544530868530273
Belgium,16,34,50,32,1830,2215,4045,45.24103831891224,49.510887145996094,5.50732421875
Bolivia,3,1,4,75,179,293,472,37.92372881355932,-22.891698837280273,-67.5799331665039
Bosnia & Herzegovina,4,1,5,80,200,247,447,44.742729306487696,43.9159,17.6791
Brazil,42,37,79,53.16455696202531,2211,2799,5010,44.131736526946106,-33.7421875,-53.37060546875
Bulgaria,8,7,15,53.333333333333336,493,457,950,51.89473684210526,41.243553161621094,25.251171112060547
Canada,9,31,40,22.5,1539,1933,3472,44.326036866359445,41.67485427856445,-82.4390640258789
Chile,57,54,111,51.35135135135135,2574,2390,4964,51.853344077356965,-55.891700744628906,-67.6114273071289
Colombia,1,8,9,11.11111111111111,707,987,1694,41.735537190082646,-4.235937595367432,-69.9659194946289
Costa Rica,1,1,2,50,89,160,249,35.7429718875502,8.070653915405273,-82.87934875488281
Croatia,86,99,185,46.48648648648649,3494,2843,6337,55.13649992109831,42.43290710449219,18.517478942871094
Cyprus,4,10,14,28.57142857142857,355,371,726,48.89807162534435,34.569580078125,33.007911682128906
Czechia,92,146,238,38.655462184873954,5662,5667,11329,49.977932738988436,50.073658,14.41854
Denmark,4,5,9,44.44444444444444,609,822,1431,42.55765199161425,54.62885665893555,11.457422256469727
Ecuador,26,22,48,54.166666666666664,1127,986,2113,53.33648840511122,-4.990624904632568,-79.0762710571289
Egypt,1,1,2,50,417,499,916,45.5240174672489,21.994873046875,31.20918083190918
Egypt,1,1,2,50,417,499,916,45.5240174672489,21.994873046875,31.09267807006836
Finland,2,12,14,14.285714285714285,692,770,1462,47.332421340629274,59.816017150878906,23.021289825439453
France,171,251,422,40.52132701421801,11357,11895,23252,48.843110270084296,41.384910583496094,9.186132431030273
Georgia,4,2,6,66.66666666666666,173,263,436,39.678899082568805,41.070213317871094,46.45791244506836
Germany,163,193,356,45.78651685393258,8749,9550,18299,47.81135581179299,47.27880859375,10.183008193969727
Greece,7,10,17,41.17647058823529,320,364,684,46.783625730994146,34.934471130371094,24.7998046875
Hungary,14,13,27,51.85185185185185,952,953,1905,49.973753280839894,45.75302505493164,18.358301162719727
India,24,17,41,58.536585365853654,1342,1666,3008,44.61436170212766,6.748681545257568,93.82881164550781
Israel,8,21,29,27.586206896551722,980,1137,2117,46.291922531884744,29.477344512939453,34.904296875
Italy,73,112,185,39.45945945945946,5024,6132,11156,45.03406238795267,36.687843322753906,15.112597465515137
Japan,16,20,36,44.44444444444444,1323,1695,3018,43.836978131212724,24.266063690185547,123.82559204101562
Kazakhstan,2,10,12,16.666666666666664,417,573,990,42.12121212121212,40.608642578125,68.4957046508789
Latvia,6,1,7,85.71428571428571,312,348,660,47.27272727272727,55.66753005981445,26.593555450439453
Luxembourg,2,6,8,25,299,393,692,43.20809248554913,49.44546127319336,6.011425971984863
Mexico,21,25,46,45.65217391304348,1155,1161,2316,49.870466321243526,14.54541015625,-92.23515319824219
Morocco,8,17,25,32,743,810,1553,47.842884739214426,21.42070198059082,-17.003076553344727
Netherlands,68,64,132,51.515151515151516,3148,3188,6336,49.68434343434344,50.75043869018555,5.993945121765137
New Zealand,15,28,43,34.883720930232556,1551,1794,3345,46.36771300448431,-52.5703125,169.12753295898438
Norway,1,3,4,25,295,381,676,43.63905325443787,58.02094650268555,7.465917587280273
Pakistan,2,6,8,25,328,363,691,47.467438494934875,23.75337028503418,68.11553192138672
Paraguay,10,15,25,40,670,653,1323,50.64247921390779,-27.553808212280273,-56.437156677246094
Peru,12,11,23,52.17391304347826,759,826,1585,47.88643533123028,-18.345605850219727,-70.41825866699219
Poland,18,25,43,41.86046511627907,1020,903,1923,53.042121684867396,49.020751953125,22.809764862060547
Portugal,3,9,12,25,515,782,1297,39.707016191210485,37.00541687011719,-7.939697265625
Romania,67,53,120,55.833333333333336,1978,1761,3739,52.90184541321209,43.67080307006836,25.4970703125
Russia,133,105,238,55.88235294117647,4796,4125,8921,53.760789149198516,41.19926834106445,47.791015625
Serbia,98,57,155,63.2258064516129,2062,1428,3490,59.08309455587393,42.24213790893555,21.618263244628906
Slovakia,36,35,71,50.70422535211267,1508,1533,3041,49.588951002959554,47.763427734375,18.145605087280273
South Africa,45,66,111,40.54054054054054,3868,4343,8211,47.107538667640966,-46.962890625,37.81396484375
South Korea,2,1,3,66.66666666666666,457,494,951,48.0546792849632,33.20151138305664,126.28202819824219
Spain,431,390,821,52.496954933008524,14949,12994,27943,53.49819274952582,36.02592849731445,-5.62548828125
Sweden,287,224,511,56.16438356164384,8227,6753,14980,54.91989319092123,55.34638595581055,13.321386337280273
Switzerland,146,96,242,60.33057851239669,3447,2436,5883,58.59255481896991,45.83002853393555,8.95371150970459
Thailand,5,6,11,45.45454545454545,450,435,885,50.847457627118644,5.636767387390137,101.11396026611328
Ukraine,19,13,32,59.375,866,850,1716,50.46620046620046,44.387596130371094,33.90995788574219
United Kingdom,100,92,192,52.083333333333336,4530,4486,9016,50.244010647737355,-5.225244,50.02138519
United States,1066,964,2030,52.51231527093596,36816,33066,69882,52.68309435906242,-155.625641,18.96391678
Uruguay,12,10,22,54.54545454545454,855,902,1757,48.66249288560046,-34.93281173706055,-54.90229415893555
Uzbekistan,2,3,5,40,319,399,718,44.428969359331475,37.17221450805664,67.75898742675781
Zimbabwe,2,10,12,16.666666666666664,480,569,1049,45.7578646329838,-22.402050018310547,31.287891387939453
Zimbabwe,2,10,12,16.666666666666664,480,569,1049,45.7578646329838,-22.402050018310547,31.287891387939453
Algeria,0,0,0,0,50,110,160,31.25,18.986621856689453,3.3564453125
Andorra,0,0,0,0,3,5,8,37.5,42.434471130371094,1.486230731010437
Austria-Hungary,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Baden,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Bahamas,0,0,0,0,117,228,345,33.91304347826087,20.937402725219727,-73.6610336303711
Bahrain,0,0,0,0,9,19,28,32.142857142857146,25.806787490844727,50.57490158081055
Bangladesh,0,0,0,0,10,34,44,22.727272727272727,20.790430068969727,92.30781555175781
