tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2000-73,Tashkent,Hard,32,A,11/9/2000,31,103498,2,NA,Marat Safin,R,193,RUS,20.62422998,102106,NA,NA,Davide Sanguinetti,R,188,ITA,28.04654346,6-3 6-4,3,FALSE,62,6,1,46,24,21,15,9,0,0,5,7,63,29,22,14,10,3,6,2,3412,101,399,2000,Russia,Italy,61.52401,105.318756,41.87194,12.56738
2000-306,St. Poelten,Clay,32,A,22/5/2000,31,102318,NA,NA,Andrei Pavel,R,183,ROU,26.31622177,102776,7,NA,Andrew Ilie,R,180,AUS,24.09308693,7-5 3-6 6-2,3,FALSE,137,7,2,104,73,46,14,14,5,9,4,7,120,52,32,32,15,15,21,43,813,52,762,2000,Romania,Australia,45.943161,24.96676,-25.274398,133.775136
2000-301,Auckland,Hard,32,A,10/1/2000,31,102796,2,NA,Magnus Norman,R,188,SWE,23.61396304,102021,NA,NA,Michael Chang,R,175,USA,27.88227242,3-6 6-3 7-5,3,FALSE,140,6,8,87,50,41,12,15,3,7,3,4,102,54,38,18,15,5,10,14,1498,50,722,2000,Sweden,United States,60.128161,18.643501,37.09024,-95.712891
2000-540,Wimbledon,Grass,128,G,26/6/2000,127,101948,1,NA,Pete Sampras,R,185,USA,28.8733744,102158,12,NA,Patrick Rafter,R,185,AUS,27.4934976,6-7(10) 7-6(5) 6-4 6-2,5,FALSE,178,24,12,132,84,74,27,21,2,2,10,7,167,97,73,34,21,11,14,3,3261,21,1165,2000,United States,Australia,37.09024,-95.712891,-25.274398,133.775136
2000-423,Los Angeles,Hard,32,A,24/7/2000,31,102021,4,NA,Michael Chang,R,175,USA,28.41889117,102998,6,NA,Jan Michael Gambill,R,190,USA,23.14031485,6-7(2) 6-3 RET,3,FALSE,103,5,0,68,35,26,24,11,3,3,16,0,60,36,28,15,11,0,1,23,1117,38,921,2000,United States,United States,37.09024,-95.712891,37.09024,-95.712891
2000-422,Cincinnati Masters,Hard,64,M,7/8/2000,63,102358,7,NA,Thomas Enqvist,R,190,SWE,26.40383299,102450,15,NA,Tim Henman,R,185,GBR,25.9192334,7-6(5) 6-4,3,FALSE,108,12,3,90,44,37,23,11,7,7,9,6,74,43,33,15,11,4,5,8,2097,16,1398,2000,Sweden,United Kingdom,60.128161,18.643501,55.378051,-3.435973
2000-421,Canada Masters,Hard,64,M,31/7/2000,63,103498,8,NA,Marat Safin,R,193,RUS,20.50924025,103248,NA,Q,Harel Levy,R,185,ISR,21.98767967,6-2 6-3,3,FALSE,54,3,0,48,23,19,17,9,4,5,3,3,45,27,15,7,8,2,6,9,1951,144,278,2000,Russia,Israel,61.52401,105.318756,31.046051,34.851612
2000-425,Barcelona,Clay,56,A,24/4/2000,55,103498,NA,NA,Marat Safin,R,193,RUS,20.24093087,103507,NA,NA,Juan Carlos Ferrero,R,183,ESP,20.19712526,6-3 6-3 6-4,5,FALSE,104,18,1,80,44,38,20,14,0,0,2,1,94,69,39,15,14,7,11,35,921,25,1088,2000,Russia,Spain,61.52401,105.318756,40.463667,-3.74922
2000-424,San Jose,Hard,32,A,7/2/2000,31,102882,2,NA,Mark Philippoussis,R,196,AUS,23.24982888,102025,NA,NA,Mikael Tillstrom,R,185,SWE,27.92607803,7-5 4-6 6-3,3,FALSE,108,19,3,93,54,43,23,16,1,2,4,2,98,65,47,15,15,4,6,17,1304,79,499,2000,Australia,Sweden,-25.274398,133.775136,60.128161,18.643501
2000-429,Stockholm,Hard,32,A,20/11/2000,31,102563,NA,NA,Thomas Johansson,R,180,SWE,25.66187543,102338,2,NA,Yevgeny Kafelnikov,R,190,RUS,26.75427789,6-2 6-4 6-4,5,FALSE,95,7,4,76,36,29,21,14,2,5,3,10,77,36,25,13,14,2,9,57,715,5,2824,2000,Sweden,Russia,60.128161,18.643501,61.52401,105.318756
2000-499,Delray Beach,Hard,32,A,28/2/2000,31,102905,6,NA,Stefan Koubek,L,175,AUT,23.15400411,102231,NA,Q,Alex Calatrava,R,190,ESP,26.70773443,6-1 4-6 6-4,3,FALSE,90,5,5,74,42,35,18,14,1,3,7,3,75,37,28,18,13,7,11,33,982,178,203,2000,Austria,Spain,47.516231,14.550072,40.463667,-3.74922
2000-496,Marseille,Hard,32,A,7/2/2000,31,101820,NA,NA,Marc Rosset,R,201,SUI,29.25119781,103819,NA,WC,Roger Federer,R,185,SUI,18.49965777,2-6 6-3 7-6(5),3,FALSE,118,10,9,93,45,40,24,15,3,6,5,2,87,46,34,26,14,3,5,77,524,67,582,2000,Switzerland,Switzerland,46.818188,8.227512,46.818188,8.227512
2000-495,Dubai,Hard,32,A,7/2/2000,31,103017,1,NA,Nicolas Kiefer,R,183,GER,22.5927447,103507,NA,NA,Juan Carlos Ferrero,R,183,ESP,19.98631075,7-5 4-6 6-3,3,FALSE,147,11,6,99,48,42,19,16,1,4,1,4,94,52,32,26,15,8,12,4,2325,39,881,2000,Germany,Spain,51.165691,10.451526,40.463667,-3.74922
2000-468,Estoril,Clay,32,A,10/4/2000,31,102845,NA,WC,Carlos Moya,R,190,ESP,23.61943874,101532,NA,NA,Francisco Clavet,L,183,ESP,31.46064339,6-3 6-2,3,FALSE,87,2,1,56,35,28,8,9,0,1,0,1,84,56,30,11,8,11,15,50,760,53,724,2000,Spain,Spain,40.463667,-3.74922,40.463667,-3.74922
2000-741,Nottingham,Grass,32,A,19/6/2000,31,103206,4,NA,Sebastien Grosjean,R,175,FRA,22.05886379,101647,NA,NA,Byron Black,R,175,ZIM,30.70225873,7-6(7) 6-3,3,FALSE,107,4,0,87,48,35,15,11,8,11,2,1,65,36,22,12,10,5,9,32,920,65,620,2000,France,Zimbabwe,46.227638,2.213749,-19.015438,29.154857
