year,country_name,wins,runnerups,total_finals_games,finals_win_rate,total_wins,total_losses,total_games,win_rate,latitude,longitude
1970,Ireland,0,0,0,0,41,23,64,64.0625,53.41291,-8.24389
1970,Italy,0,0,0,0,11,27,38,28.947368421052634,41.87194,12.56738
1970,Jamaica,0,0,0,0,4,19,23,17.391304347826086,18.109581,-77.297508
1970,Japan,0,0,0,0,9,16,25,36,36.204824,138.252924
1970,Mexico,0,0,0,0,60,30,90,66.66666666666666,23.634501,-102.552784
1970,Monaco,0,0,0,0,3,5,8,37.5,43.750298,7.412841
1970,New Zealand,0,0,0,0,45,44,89,50.56179775280899,-40.900557,174.885971
1970,Pakistan,0,0,0,0,7,11,18,38.88888888888889,30.375321,69.345116
1970,Peru,0,0,0,0,2,4,6,33.33333333333333,-9.189967,-75.015152
1970,Poland,0,0,0,0,5,8,13,38.46153846153847,51.919438,19.145136
1970,Russia,0,0,0,0,29,28,57,50.877192982456144,61.52401,105.318756
1970,Serbia,0,0,0,0,19,18,37,51.35135135135135,44.016521,21.005859
1970,Sri Lanka,0,0,0,0,2,4,6,33.33333333333333,7.873054,80.771797
1970,Sweden,0,0,0,0,6,21,27,22.22222222222222,60.128161,18.643501
1970,Switzerland,0,0,0,0,6,13,19,31.57894736842105,46.818188,8.227512
1970,Venezuela,0,0,0,0,1,3,4,25,6.42375,-66.58973
1970,Vietnam,0,0,0,0,2,4,6,33.33333333333333,14.058324,108.277199
1971,Argentina,0,0,0,0,13,21,34,38.23529411764706,-38.416097,-63.616672
1971,Austria,0,0,0,0,12,22,34,35.294117647058826,47.516231,14.550072
1971,Belgium,0,0,0,0,13,22,35,37.142857142857146,50.503887,4.469936
1971,Brazil,0,0,0,0,45,32,77,58.44155844155844,-14.235004,-51.92528
1971,Canada,0,0,0,0,20,20,40,50,56.130366,-106.346771
1971,Chile,0,0,0,0,68,61,129,52.71317829457365,-35.675147,-71.542969
1971,Colombia,0,0,0,0,3,8,11,27.27272727272727,4.570868,-74.297333
1971,Denmark,0,0,0,0,38,60,98,38.775510204081634,56.26392,9.501785
